location,last_observation_date,source_name,source_url
Argentina,2022-05-03,Ministry of Health via https://covidstats.com.ar/ws/vacunadosargentina?portipovacuna=1,https://covidstats.com.ar/
Austria,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Belgium,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Bulgaria,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Chile,2022-05-02,"Ministry of Health, via Ministry of Science GitHub repository",https://github.com/MinCiencia/Datos-COVID19
Croatia,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Cyprus,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Czechia,2022-05-03,Ministry of Health,https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19/ockovani.csv
Denmark,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Ecuador,2022-01-28,Ministerio de Salud P̼blica del Ecuador (via https://github.com/andrab/ecuacovid),https://github.com/andrab/ecuacovid
Estonia,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Finland,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
France,2022-05-02,Public Health France,https://www.data.gouv.fr/fr/datasets/r/b273cf3b-e9de-437c-af55-eda5979e92fc
Germany,2022-05-02,Robert Koch Institut,https://impfdashboard.de/
Hong Kong,2022-05-01,Food and Health Bureau,https://data.gov.hk/en-data/dataset/hk-fhb-fhbcovid19-vaccination-rates-over-time-by-age
Hungary,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Iceland,2022-03-28,Ministry of Health,https://e.infogram.com/c3bc3569-c86d-48a7-9d4c-377928f102bf
Ireland,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Italy,2022-05-03,Extraordinary commissioner for the Covid-19 emergency,https://raw.githubusercontent.com/italia/covid19-opendata-vaccini/master/dati/somministrazioni-vaccini-latest.csv
Japan,2021-08-04,Prime Minister of Japan and Hist Cabinet,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Japan,2021-08-04,Prime Minister of Japan and Hist Cabinet,https://www.kantei.go.jp/jp/headline/kansensho/vaccine.html
Latvia,2022-05-02,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Liechtenstein,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Lithuania,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Luxembourg,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Malta,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Nepal,2022-05-19,Ministry of Health and Population,https://covid19.mohp.gov.np/situation-report
Netherlands,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Norway,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Peru,2022-04-30,Ministerio de Salud via https://github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Poland,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Portugal,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Romania,2022-05-02,Government of Romania via datelazi.ro,https://d35p9e4fm9h3wo.cloudfront.net/latestData.json
Slovakia,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Slovenia,2022-04-22,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
South Africa,2022-05-04,National Department of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,2022-05-03,Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
Spain,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Sweden,2022-04-29,European Centre for Disease Prevention and Control (ECDC),https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
Switzerland,2022-05-02,Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz
Ukraine,2022-02-23,National Security and Defense Council of Ukraine,https://health-security.rnbo.gov.ua
United States,2022-05-02,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data
Uruguay,2022-05-03,Ministry of Health via vacuna.uy,https://raw.githubusercontent.com/3dgiordano/covid-19-uy-vacc-data/main/data/Uruguay.csv
